,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
86,0.0,Mon May 21 14:09:04 +0000 2018,0.0,1.0,0.0,"Duke and Duchess of Sussex release official photographs from their wedding day

https://t.co/6yvDshkVs8… https://t.co/SEEvwJlnXr",87,@BBCBreaking
87,-0.5719,Mon May 21 10:13:46 +0000 2018,0.239,0.761,0.0,A 72-second silence in memory of the victims marks the beginning of inquiry into Grenfell Tower fire https://t.co/yw2uIVMiyh,88,@BBCBreaking
88,-0.7184,Mon May 21 09:23:06 +0000 2018,0.389,0.611,0.0,"Jailed British-Iranian Nazanin Zaghari-Ratcliffe charged in Iran with spreading propaganda, her campaign says https://t.co/oOU3I7SkC8",89,@BBCBreaking
89,0.4404,Sat May 19 18:45:00 +0000 2018,0.0,0.873,0.127,"One of black boxes from Boeing 737 that crashed in Havana on Friday found ""in good condition"", Cuban officials say. https://t.co/OHYW3Dsy6l",90,@BBCBreaking
90,0.0,Sat May 19 18:24:43 +0000 2018,0.0,1.0,0.0,RT @BBCNews: Harry and his new wife Meghan have left Windsor Castle in an open-top classic sports car for their evening wedding reception a…,91,@BBCBreaking
91,0.8087,Sat May 19 18:07:39 +0000 2018,0.078,0.64,0.282,"RT @BBCSport: CHELSEA HAVE WON THE FA CUP! 🏆

They've beaten Man Utd 1-0.

Party time for the Blues 🎉

👉 https://t.co/zzvVrq4qSz #FACupFina…",92,@BBCBreaking
92,0.0,Sat May 19 15:53:36 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: Full-Time: Celtic 2-0 Motherwell. 

Celtic complete back-to-back trebles by clinching the Scottish Cup. Goals from Callum McG…",93,@BBCBreaking
93,0.3182,Sat May 19 12:31:59 +0000 2018,0.0,0.897,0.103,Enormous crowds greet the Duke &amp; Duchess of Sussex as #harryandmeghan head up Long Walk and back to Windsor Castle… https://t.co/pIohUoEeqa,94,@BBCBreaking
94,0.4389,Sat May 19 12:11:25 +0000 2018,0.074,0.737,0.19,"The royal couple leave St George's Chapel - and here's the kiss!

https://t.co/XbDbyZPqJN #royalwedding https://t.co/wpcWWl3aDL",95,@BBCBreaking
95,0.4574,Sat May 19 11:45:07 +0000 2018,0.0,0.857,0.143,"The royal couple have made their vows and exchanged rings.

Harry &amp; Meghan are married! 🎉

https://t.co/XbDbyZPqJN… https://t.co/n9C0CnBYRV",96,@BBCBreaking
